"card_id","card_name","source_enemy_id","source_name","rarity_tier","rarity_label","guardian_power_tier","guardian_power_label","race_id","level","guardian_sp_cost","not_in_book","source_hp","source_atk","source_def","source_spd","source_wis","card_battle_hp","card_battle_atk","card_battle_def","add_hp","add_mp","add_sp","add_str","add_stamina","add_wis","add_spd","add_atk","add_def","guardian_theme","guardian_archetype","guardian_signature","guardian_signature_note","specialization_mode","separation_adjustment_hp","source_focus","design_note"
"10001","妮可・契靈","2","妮可","contract","契約","common","初階","10","3","10","Y","50","57","38","30","45","59","66","44","20","34","25","1","1","19","4","1","25","晨星遊行","旅伴靈契","晨星步印","以迅捷體力維持隊伍節奏。","manual","0","靈巧遊擊","初階護駕／晨星遊行：以迅捷體力維持隊伍節奏。 個性・晨星步印：以迅捷體力維持隊伍節奏。 靈巧遊擊與原始面板折算已反映在九維加成。"
"10002","薇達・契靈","3","薇達","contract","契約","elite","菁英","23","32","90","Y","800","250","92","46","100","944","288","106","96","69","35","7","4","25","3","9","30","冰紋斷刃","寒霜戰契","冰紋刃印","以靈力與攻擊兼顧冰系壓制。","manual","0","術武破陣","菁英護駕／冰紋斷刃：以靈力與攻擊兼顧冰系壓制。 個性・冰紋刃印：以靈力與攻擊兼顧冰系壓制。 術武破陣與原始面板折算已反映在九維加成。"
"10003","麥爾斯・契靈","4","麥爾斯","contract","契約","common","初階","23","12","10","Y","160","42","25","32","35","189","48","29","32","22","25","1","1","19","4","1","25","荒野斥候","流浪戰契","荒野跡印","以體力與敏捷維持長途作戰。","manual","0","機動續戰","初階護駕／荒野斥候：以體力與敏捷維持長途作戰。 個性・荒野跡印：以體力與敏捷維持長途作戰。 機動續戰與原始面板折算已反映在九維加成。"
"10004","姆斯比爾・契靈","6","姆斯比爾","contract","契約","elite","菁英","1","40","90","Y","1800","115","65","45","90","2124","132","75","108","44","70","4","4","22","8","6","30","炎潮偵巡","熾焰靈契","炎潮翼印","以速度與體力掌握先機。","manual","0","疾風探敵","菁英護駕／炎潮偵巡：以速度與體力掌握先機。 個性・炎潮翼印：以速度與體力掌握先機。 疾風探敵與原始面板折算已反映在九維加成。"
"10005","康那里士・契靈","7","康那里士","contract","契約","veteran","熟練","23","35","30","Y","1200","94","54","48","100","1416","108","62","69","28","45","2","2","21","6","3","27","沙城遊俠","邊境戰契","沙城行印","以敏捷與體力維持游擊。","manual","0","輕裝周旋","熟練護駕／沙城遊俠：以敏捷與體力維持游擊。 個性・沙城行印：以敏捷與體力維持游擊。 輕裝周旋與原始面板折算已反映在九維加成。"
"10006","慧彥・契靈","10","慧彥","contract","契約","veteran","熟練","23","38","30","Y","500","230","130","51","180","590","265","150","45","52","26","6","2","21","2","8","21","禪武破關","修行武契","禪武拳印","以力量與攻擊落實武修路線。","manual","0","剛勁修行","熟練護駕／禪武破關：以力量與攻擊落實武修路線。 個性・禪武拳印：以力量與攻擊落實武修路線。 剛勁修行與原始面板折算已反映在九維加成。"
"10007","恐懼之王・契靈","12","恐懼之王","contract","契約","elite","菁英","1","50","90","Y","5000","163","73","54","120","5900","187","84","96","69","41","7","4","25","3","9","24","畏怖咒主","冥怖靈契","畏怖紋印","以靈力與智慧放大咒法。","manual","0","暗咒續航","菁英護駕／畏怖咒主：以靈力與智慧放大咒法。 個性・畏怖紋印：以靈力與智慧放大咒法。 暗咒續航與原始面板折算已反映在九維加成。"
"10008","藍魔神・契靈","13","藍魔神","contract","契約","elite","菁英","1","32","90","Y","2000","120","60","46","120","2360","138","69","102","58","76","4","4","23","8","6","24","藍焰疾靈","藍魔靈契","藍焰躍印","以敏捷與體力維持魔焰節奏。","manual","0","魔焰遊擊","菁英護駕／藍焰疾靈：以敏捷與體力維持魔焰節奏。 個性・藍焰躍印：以敏捷與體力維持魔焰節奏。 魔焰遊擊與原始面板折算已反映在九維加成。"
"10009","蜃樓王・契靈","16","蜃樓王","contract","契約","elite","菁英","8","50","90","Y","5000","300","68","56","130","5900","345","78","108","52","41","10","4","23","3","14","24","蜃樓幻君","蜃景靈契","蜃王惑印","以靈力與攻擊形成幻術壓制。","manual","0","幻術破陣","菁英護駕／蜃樓幻君：以靈力與攻擊形成幻術壓制。 個性・蜃王惑印：以靈力與攻擊形成幻術壓制。 幻術破陣與原始面板折算已反映在九維加成。"
"10010","鬼猴・契靈","18","鬼猴","contract","契約","elite","菁英","8","35","90","Y","3500","154","64","50","120","4130","177","74","133","46","41","13","7","23","3","17","24","巨力鎮守・鬼猴","巨力鎮守","破軍印","把加護集中於力量與正面攻勢。","generated","0","攻勢本能","菁英護駕／巨力鎮守・鬼猴：巨力原型，以力量、耐力與正面壓制見長。 個性・破軍印：把加護集中於力量與正面攻勢。 攻勢本能與原始面板折算已反映在九維加成。"
"10011","撒旦・契靈","28","撒旦","contract","契約","sovereign","傳說首領","1","73","280","Y","30000","600","166","140","200","35400","690","191","296","158","117","26","16","32","9","37","34","魔王霸權・撒旦（28）","魔王霸權","銳鋒印","以力量、敏捷與攻擊提升破陣能力。","generated","0","攻勢本能","傳說首領護駕／魔王霸權・撒旦（28）：魔王霸權，將極端攻防凝為壓制性的契靈加護。 個性・銳鋒印：以力量、敏捷與攻擊提升破陣能力。 攻勢本能與原始面板折算已反映在九維加成。"
"10012","雨丹子・契靈","32","雨丹子","contract","契約","boss","首領","23","60","160","Y","15000","580","116","64","180","17700","667","133","181","91","75","14","7","25","5","21","23","邪符統御","秘術首領","邪符軍印","以力量與攻擊支撐首領符術。","manual","0","符法強攻","首領護駕／邪符統御：以力量與攻擊支撐首領符術。 個性・邪符軍印：以力量與攻擊支撐首領符術。 符法強攻與原始面板折算已反映在九維加成。"
"10013","張客・契靈","33","張客","contract","契約","boss","首領","23","56","160","Y","10000","550","130","60","200","11800","633","150","193","93","75","12","8","26","5","18","24","萬咒鎮場","秘術首領","萬咒陣印","以生命與耐力維持咒陣。","manual","0","陣法壓制","首領護駕／萬咒鎮場：以生命與耐力維持咒陣。 個性・萬咒陣印：以生命與耐力維持咒陣。 陣法壓制與原始面板折算已反映在九維加成。"
"10014","鎮邪・契靈","38","鎮邪","contract","契約","boss","首領","14","58","160","Y","10000","600","100","80","180","11800","690","115","193","79","75","15","7","25","5","23","23","鎮煞裁決","伏邪首領","鎮煞鋒印","以力量與攻擊作為鎮煞核心。","manual","0","鎮邪猛攻","首領護駕／鎮煞裁決：以力量與攻擊作為鎮煞核心。 個性・鎮煞鋒印：以力量與攻擊作為鎮煞核心。 鎮邪猛攻與原始面板折算已反映在九維加成。"
"10015","王思月・契靈","39","王思月","contract","契約","boss","首領","23","57","160","Y","8000","560","122","62","130","9440","644","140","192","73","75","12","8","25","5","18","26","月影咒陣","月影首領","月影陣印","以生命與防禦穩住月影術式。","manual","0","月咒守持","首領護駕／月影咒陣：以生命與防禦穩住月影術式。 個性・月影陣印：以生命與防禦穩住月影術式。 月咒守持與原始面板折算已反映在九維加成。"
"10016","悟緣・契靈","40","悟緣","contract","契約","elite","菁英","23","45","90","Y","500","350","250","58","33","590","402","288","93","62","53","8","7","22","3","11","17","金剛護拳","修行武契","金剛拳印","以耐力與防禦承受近戰壓力。","manual","0","拳勢防守","菁英護駕／金剛護拳：以耐力與防禦承受近戰壓力。 個性・金剛拳印：以耐力與防禦承受近戰壓力。 拳勢防守與原始面板折算已反映在九維加成。"
"10017","蚩尤・契靈","46","蚩尤","contract","契約","sovereign","傳說首領","1","80","280","Y","30000","850","200","90","180","35400","977","230","302","130","115","26","15","28","8","38","26","兵主戰神・蚩尤","兵主戰神","銳鋒印","以力量、敏捷與攻擊提升破陣能力。","generated","0","攻勢本能","傳說首領護駕／兵主戰神・蚩尤：兵主戰意，兼顧猛攻與軍陣韌性。 個性・銳鋒印：以力量、敏捷與攻擊提升破陣能力。 攻勢本能與原始面板折算已反映在九維加成。"
"10018","機關三魔獸・契靈","48","機關三魔獸","contract","契約","elite","菁英","13","38","90","Y","6000","240","90","48","10","7080","276","103","105","50","53","7","6","22","3","9","15","三獸重甲","機關重契","三獸甲印","以生命耐力與防禦支撐機關外殼。","manual","0","重甲鎮守","菁英護駕／三獸重甲：以生命耐力與防禦支撐機關外殼。 個性・三獸甲印：以生命耐力與防禦支撐機關外殼。 重甲鎮守與原始面板折算已反映在九維加成。"
"10019","影忍妖機・契靈","50","影忍妖機","contract","契約","veteran","熟練","26","35","30","Y","1000","50","40","30","22","1180","57","46","73","26","66","4","5","20","7","6","13","機巧鋼骨・影忍妖機（50）","機巧鋼骨","獵心印","將速度轉為力量與攻擊節奏。","generated","0","迅捷本能","熟練護駕／機巧鋼骨・影忍妖機（50）：機關構造，側重耐力、防禦與穩定。 個性・獵心印：將速度轉為力量與攻擊節奏。 迅捷本能與原始面板折算已反映在九維加成。"
"10020","羯羊妖機・契靈","51","羯羊妖機","contract","契約","boss","首領","13","52","160","Y","15000","500","148","65","50","17700","575","170","199","65","81","14","7","24","5","21","17","羯羊攻城","機關首領","羯羊槌印","以力量與攻擊代表攻城衝擊。","manual","0","破城強攻","首領護駕／羯羊攻城：以力量與攻擊代表攻城衝擊。 個性・羯羊槌印：以力量與攻擊代表攻城衝擊。 破城強攻與原始面板折算已反映在九維加成。"
