source_enemy_id,title,archetype,signature,focus,note,bias
2,晨星遊行,旅伴靈契,晨星步印,靈巧遊擊,以迅捷體力維持隊伍節奏。,speed
3,冰紋斷刃,寒霜戰契,冰紋刃印,術武破陣,以靈力與攻擊兼顧冰系壓制。,magic
4,荒野斥候,流浪戰契,荒野跡印,機動續戰,以體力與敏捷維持長途作戰。,speed
6,炎潮偵巡,熾焰靈契,炎潮翼印,疾風探敵,以速度與體力掌握先機。,speed
7,沙城遊俠,邊境戰契,沙城行印,輕裝周旋,以敏捷與體力維持游擊。,speed
10,禪武破關,修行武契,禪武拳印,剛勁修行,以力量與攻擊落實武修路線。,attack
12,畏怖咒主,冥怖靈契,畏怖紋印,暗咒續航,以靈力與智慧放大咒法。,magic
13,藍焰疾靈,藍魔靈契,藍焰躍印,魔焰遊擊,以敏捷與體力維持魔焰節奏。,speed
16,蜃樓幻君,蜃景靈契,蜃王惑印,幻術破陣,以靈力與攻擊形成幻術壓制。,attack
32,邪符統御,秘術首領,邪符軍印,符法強攻,以力量與攻擊支撐首領符術。,attack
33,萬咒鎮場,秘術首領,萬咒陣印,陣法壓制,以生命與耐力維持咒陣。,life
38,鎮煞裁決,伏邪首領,鎮煞鋒印,鎮邪猛攻,以力量與攻擊作為鎮煞核心。,attack
39,月影咒陣,月影首領,月影陣印,月咒守持,以生命與防禦穩住月影術式。,guard
40,金剛護拳,修行武契,金剛拳印,拳勢防守,以耐力與防禦承受近戰壓力。,guard
48,三獸重甲,機關重契,三獸甲印,重甲鎮守,以生命耐力與防禦支撐機關外殼。,guard
51,羯羊攻城,機關首領,羯羊槌印,破城強攻,以力量與攻擊代表攻城衝擊。,attack
52,夜叉冥獵,夜叉首領,夜叉獵印,冥界突襲,以敏捷與體力延續夜叉追擊。,speed
53,五鬼咒潮,幽冥首領,五鬼咒印,群咒蓄勢,以靈力與智慧強化鬼咒循環。,magic
61,三獸突擊,機關突契,三獸突印,機械破陣,以力量與攻擊轉化機關衝鋒。,attack
62,藍魔核心,藍魔本契,核心躍印,核心游擊,以敏捷與體力保留本體機動。,speed
63,炎潮戰巡,熾焰戰契,炎潮鋒印,火線強攻,以力量與攻擊維持戰線。,attack
64,藍魔戰相,藍魔戰契,戰相刃印,魔焰破陣,以力量與攻擊塑造戰相壓制。,attack
65,影忍機襲,忍機靈契,影忍刃印,暗械突擊,以力量與攻擊表現忍機刺擊。,attack
